family,split,disposition_stage,baseline_mae,enriched_mae,mae_lift_fraction,baseline_spearman,enriched_spearman,mean_rank_mae_baseline,mean_rank_mae_enriched,gate_pass
OPPORTUNITY_ROLE,development,SCREEN,2.9764593555216665,2.991275632475502,-0.004977819343089542,0.6555013324319281,0.6557664912057479,10.793053233729102,10.836308345400628,False
EFFICIENCY_REGRESSION,development,SCREEN,2.9764593555216665,3.0040689623645225,-0.009275989874223223,0.6555013324319281,0.644188092293479,10.793053233729102,10.981664109923805,False
QB_TEAM_ENVIRONMENT,development,SCREEN,2.9764593555216665,3.0013857542205535,-0.00837451338035097,0.6555013324319281,0.6525718326868409,10.793053233729102,10.777590184364959,False
OL_ENVIRONMENT,development,SCREEN,2.9764593555216665,3.0095770516760316,-0.01112654069773473,0.6555013324319281,0.6513811040681566,10.793053233729102,10.895735275499199,False
AGE_DRAFT_INTERACTIONS,development,SCREEN,2.9764593555216665,2.9724999068918962,0.001330254559809475,0.6555013324319281,0.6555344772786557,10.793053233729102,10.803853087892463,False
OPPORTUNITY_ROLE,confirmation,INSUFFICIENT EVIDENCE,2.6801823056770275,2.678921706868698,0.00047034069498155703,0.6954278827118581,0.6869703573582038,10.453678976730984,10.570055600661442,False
EFFICIENCY_REGRESSION,confirmation,EXCLUDED — RIGHTS / POINT-IN-TIME / COVERAGE,2.6801823056770275,2.6993348460791946,-0.007145984197268643,0.6954278827118581,0.6867652366263339,10.453678976730984,10.579184643212654,False
QB_TEAM_ENVIRONMENT,confirmation,INSUFFICIENT EVIDENCE,2.6801823056770275,2.676663595974222,0.001312862074849308,0.6954278827118581,0.6858107091391722,10.453678976730984,10.718968143312889,False
OL_ENVIRONMENT,confirmation,INSUFFICIENT EVIDENCE,2.6801823056770275,2.690266723542211,-0.0037625865389167815,0.6954278827118581,0.6920580993877742,10.453678976730984,10.509366616860682,False
AGE_DRAFT_INTERACTIONS,confirmation,INSUFFICIENT EVIDENCE,2.6801823056770275,2.6745587908496087,0.0020981837002309153,0.6954278827118581,0.6965346886342477,10.453678976730984,10.400473410622,False
