season,position,model,rank_mae,n,mae,rmse,spearman,abs_error_p90,abs_error_p95
2018,QB,ridge,5.448275862068965,29,4.231524264026354,5.222860004260571,0.6418719211822659,8.55558276206895,11.079691845759921
2018,QB,huber,5.931034482758621,29,4.524064964249644,5.631907959435196,0.6310344827586206,8.28601825298353,10.95805249619221
2019,QB,ridge,6.903225806451613,31,4.734325783226116,5.922122341362697,0.5137096774193549,11.123177567397239,11.973156536248364
2019,QB,huber,7.354838709677419,31,5.2834184737858765,6.846506856781507,0.46048387096774196,11.966893667493657,13.092932689306615
2020,QB,ridge,6.27027027027027,37,3.9795759567769458,4.823187639001744,0.7190611664295874,8.435850983279607,8.59715849117193
2020,QB,huber,6.216216216216216,37,4.2864365229591765,5.163065677836694,0.6811284969179705,8.611529378780762,9.34050556809964
2021,QB,ridge,7.351351351351352,37,3.7901388759623864,4.853530424527421,0.6064485538169748,7.846014433613289,9.538728459916875
2021,QB,huber,8.27027027027027,37,4.206870724014106,5.159680092014235,0.5469416785206258,7.7602266959201405,8.248094292786382
2022,QB,ridge,8.227272727272727,44,3.6453369180625743,4.686217038385432,0.6369274136715997,6.540507601362537,8.686472372846904
2022,QB,huber,8.454545454545455,44,3.763301041521095,4.959095256690132,0.5974630021141648,7.256368286613022,9.781937581058783
2023,QB,ridge,9.619047619047619,42,4.353038292018438,5.516435853225474,0.48918240012964914,8.534321385953293,9.902334031804354
2023,QB,huber,10.047619047619047,42,4.377888638607366,5.5705251151189605,0.48707560165302655,9.012099179447745,10.220344367432167
2024,QB,ridge,9.073170731707316,41,4.653811401034464,5.8322269893869505,0.449651567944251,9.99829194335352,10.449939514165287
2024,QB,huber,9.21951219512195,41,4.8463691974895795,6.180832675875015,0.404006968641115,10.229262638113802,10.948875629368702
2025,QB,ridge,9.277777777777779,36,4.864831386340557,5.719365015922367,0.3933075933075934,8.892158038355493,9.83856135804422
2025,QB,huber,8.666666666666666,36,5.008334285218599,5.946761827634217,0.43938223938223947,8.472909296986735,11.249895887656262
2018,RB,ridge,11.241379310344827,58,3.2233721956218764,4.291011071427854,0.6433153444815736,6.0543703482120375,7.453298975663301
2018,RB,huber,11.344827586206897,58,3.1794686772410548,4.350477077053544,0.6344855260279049,6.324755694263908,7.841175046223543
2019,RB,ridge,9.454545454545455,55,2.9639450827505835,4.298069852551515,0.688989531689598,5.873067417777454,6.478167089186048
2019,RB,huber,10.290909090909091,55,3.081815908012162,4.876988728459341,0.6483970612444135,5.7360384350922,7.250096965231319
2020,RB,ridge,12.193548387096774,62,3.1403061292323864,3.9583803660520154,0.6143463316234705,5.837861410038977,7.525192668935387
2020,RB,huber,12.0,62,3.1014642958731087,4.1021907265674615,0.6345425014038453,5.942351170379308,8.465212782834739
2021,RB,ridge,12.123076923076923,65,2.448065691050775,3.2008452494521986,0.6188852606858435,5.347326264707275,5.89244929648796
2021,RB,huber,13.538461538461538,65,2.762168322148895,3.716292080863485,0.5179453675641643,6.629367318011255,7.784863238202615
2022,RB,ridge,11.35483870967742,62,2.404257587273201,3.08586648757479,0.6344989120700637,5.222062051170263,6.312303769409041
2022,RB,huber,11.225806451612904,62,2.3621095456135333,3.1182320466696285,0.6362869423442044,5.729713815491259,6.827395294221209
2023,RB,ridge,10.271186440677965,59,2.8643774286712596,3.2921626960701653,0.699655122700908,5.430214253872931,5.869053456043125
2023,RB,huber,10.576271186440678,59,2.708740420008679,3.2475097560010364,0.6722102166846932,5.281855824712064,6.145171346992177
2024,RB,ridge,9.627118644067796,59,2.88005845745865,3.713428054886909,0.733528239464959,6.247446231601337,7.203184306528156
2024,RB,huber,9.35593220338983,59,2.7897436870904033,3.7977097935880635,0.7456299646239013,6.787417094392644,8.215469265615571
2025,RB,ridge,7.384615384615385,52,2.3562796831552095,3.123615419239815,0.7905978725464448,5.211263233402644,5.993374861872129
2025,RB,huber,7.730769230769231,52,2.386449347890662,3.0756455866910644,0.7734165370094316,5.034736818120995,6.297546940799417
2018,WR,ridge,12.904761904761905,84,2.616650250615799,3.3949910906158958,0.7430854778107954,5.221956025914111,7.562886874671955
2018,WR,huber,12.976190476190476,84,2.580817259361904,3.385011658732984,0.7558056250056813,5.184390954329015,7.4809145936812005
2019,WR,ridge,17.741176470588236,85,3.556733767918359,4.405092078769308,0.5565718779629583,7.266465487236081,9.298503073276606
2019,WR,huber,17.71764705882353,85,3.5368664242586916,4.476014183035551,0.5595817480056697,7.458097618375832,9.367062182076426
2020,WR,ridge,16.46808510638298,94,2.4724456038720786,3.196837426768169,0.7050560940774528,5.549263504472016,6.425353847561887
2020,WR,huber,17.25531914893617,94,2.6317470912081244,3.3633187645459603,0.6750700030485178,5.572535722253703,6.49406376718265
2021,WR,ridge,15.736263736263735,91,3.6329701122968507,10.074042093905408,0.6449601278603763,5.39432294541931,6.732424339981479
2021,WR,huber,16.197802197802197,91,4.113965530306417,14.928935692052358,0.6352977143450597,5.383583595255324,7.141560254835225
2022,WR,ridge,16.125,96,2.3478400140296025,2.8232972952611055,0.7044837203398843,4.663454860732428,4.968583863050803
2022,WR,huber,16.895833333333332,96,2.3581790179905417,2.9498631751184665,0.6810391446820095,4.735194999185797,5.058734595050756
2023,WR,ridge,12.207792207792208,77,2.5298848793450968,3.030887316245315,0.745632730688385,4.718190324106113,5.109359078670898
2023,WR,huber,11.922077922077921,77,2.39782485941071,2.910860771411247,0.7494740284541049,4.630873027828315,5.102486377243106
2024,WR,ridge,12.51764705882353,85,2.6845180158156903,3.247168198805105,0.8021824218415337,5.205088092146537,5.548342777230377
2024,WR,huber,12.941176470588236,85,2.596496203646707,3.207886184113999,0.7911928179345805,5.191729834775706,6.2160787186477755
2025,WR,ridge,12.813953488372093,86,2.2480886330865792,2.788548758844561,0.7787875647889597,4.398256981462989,5.150442730096515
2025,WR,huber,13.13953488372093,86,2.205995496810005,2.794126317710638,0.7689447846608182,4.701546280733143,5.442137950480299
2018,TE,ridge,10.745098039215685,51,2.069365192874602,2.7193455017625334,0.5552060639558077,3.9578173502377147,5.044025179819741
2018,TE,huber,10.941176470588236,51,2.1109715989849613,2.7109609885031403,0.5524904559149382,3.7716656485450377,4.8029532067941325
2019,TE,ridge,9.061224489795919,49,2.3218173446782586,2.9854699389134227,0.6396081534773456,5.041731502080428,5.841779715617296
2019,TE,huber,9.224489795918368,49,2.315921803924565,3.098496745697337,0.6127707341466913,5.438301881914771,6.025054450364136
2020,TE,ridge,9.791666666666666,48,2.3415477504883166,3.0080194131629363,0.5434753343808628,5.211697462547139,6.441415158137127
2020,TE,huber,9.375,48,2.1906554406084475,2.925665541077634,0.5839237983282898,4.98071626721764,6.034647209900271
2021,TE,ridge,9.254901960784315,51,1.5998456653988564,2.0080336735653077,0.6956994827837638,3.2570331329601583,3.941312473183049
2021,TE,huber,9.176470588235293,51,1.6904432761571464,2.1898834783799286,0.6866456113264009,3.5564140487826537,4.217128897354398
2022,TE,ridge,10.892857142857142,56,2.104520174288973,4.040427871005309,0.5928201073103366,3.205425781783355,3.878763852922489
2022,TE,huber,10.0,56,1.67676788864191,2.110856679823506,0.6909446525247431,3.0580281735637183,3.5792537019434603
2023,TE,ridge,9.423076923076923,52,1.5920773118140574,1.9948109146550443,0.6971948410443282,3.266656040029535,3.667823477529053
2023,TE,huber,8.923076923076923,52,1.6853468268762302,2.3454228345309787,0.7202510731567623,3.48886519108875,4.196014237636364
