position,label,tier,n,mean_pred,event_rate
QB,breakout,NORMAL,194,0.13511218085099266,0.12371134020618557
QB,breakout,ELEVATED,65,0.2638413978478912,0.4
QB,breakout,HIGH,31,0.43382288999346946,0.5806451612903226
QB,breakout,VERY HIGH,7,0.645485849500629,0.42857142857142855
QB,downside,NORMAL,163,0.19442535470514075,0.17791411042944785
QB,downside,ELEVATED,84,0.36869139017422364,0.44047619047619047
QB,downside,HIGH,40,0.5149199207766023,0.5
QB,downside,VERY HIGH,10,0.7627514171529853,0.9
QB,low_availability,NORMAL,216,0.6817275088003396,0.6481481481481481
QB,low_availability,ELEVATED,158,0.8875863869479713,0.9240506329113924
QB,low_availability,HIGH,69,0.9416102195017944,0.9565217391304348
QB,low_availability,VERY HIGH,52,0.972834932958937,0.9615384615384616
RB,breakout,NORMAL,310,0.1733075492077637,0.12580645161290321
RB,breakout,ELEVATED,112,0.22494449902182442,0.25892857142857145
RB,breakout,HIGH,49,0.25224911017395835,0.20408163265306123
RB,breakout,VERY HIGH,1,0.27664602894733437,1.0
RB,downside,NORMAL,271,0.1607242149679697,0.1033210332103321
RB,downside,ELEVATED,112,0.34817424194697416,0.4732142857142857
RB,downside,HIGH,63,0.5467160800598357,0.4444444444444444
RB,downside,VERY HIGH,26,0.7466945142352148,0.5384615384615384
RB,low_availability,NORMAL,383,0.6142913963945003,0.5587467362924282
RB,low_availability,ELEVATED,188,0.7213370684487325,0.7446808510638298
RB,low_availability,HIGH,152,0.7648820044456176,0.868421052631579
RB,low_availability,VERY HIGH,177,0.8256042441624506,0.9096045197740112
WR,breakout,NORMAL,477,0.14492445926868125,0.10482180293501048
WR,breakout,ELEVATED,170,0.23627369174136903,0.2411764705882353
WR,breakout,HIGH,48,0.3078828813443202,0.2708333333333333
WR,breakout,VERY HIGH,3,0.3800173929511597,0.3333333333333333
WR,downside,NORMAL,388,0.11557854168089951,0.08505154639175258
WR,downside,ELEVATED,203,0.24696527428991097,0.33497536945812806
WR,downside,HIGH,78,0.398603207449268,0.4358974358974359
WR,downside,VERY HIGH,29,0.6564646071277367,0.6206896551724138
WR,low_availability,NORMAL,596,0.565336488155022,0.5369127516778524
WR,low_availability,ELEVATED,307,0.7470912055032779,0.7785016286644951
WR,low_availability,HIGH,274,0.8306043343128324,0.864963503649635
WR,low_availability,VERY HIGH,174,0.881412975948569,0.9022988505747126
TE,breakout,NORMAL,241,0.10582671009978707,0.1078838174273859
TE,breakout,ELEVATED,116,0.13639959552389555,0.12931034482758622
TE,breakout,HIGH,56,0.15903935167362332,0.125
TE,breakout,VERY HIGH,1,0.2697263842855613,0.0
TE,downside,NORMAL,239,0.037675771304714854,0.02092050209205021
TE,downside,ELEVATED,106,0.1260588799277251,0.16981132075471697
TE,downside,HIGH,52,0.33043048913311074,0.28846153846153844
TE,downside,VERY HIGH,17,0.6546630207259222,0.5882352941176471
TE,low_availability,NORMAL,333,0.599559092826341,0.5465465465465466
TE,low_availability,ELEVATED,221,0.7502797419505538,0.7782805429864253
TE,low_availability,HIGH,131,0.8195679060176988,0.8549618320610687
TE,low_availability,VERY HIGH,77,0.8768195715985286,0.948051948051948
