season,position,model,n,mae,rmse,spearman,rank_mae,top_n_overlap
2018,QB,baseline,29,4.034811355311355,5.395981409144104,0.6403940886699506,5.862068965517241,0.75
2018,QB,boost,29,4.402583155674597,5.915178031162344,0.595566502463054,6.0,0.6666666666666666
2018,QB,prototype,29,,,0.6251231527093595,5.586206896551724,0.75
2018,QB,ridge,29,4.231524264026354,5.222860004260571,0.6418719211822659,5.448275862068965,0.75
2018,RB,baseline,58,3.5717713249394287,4.761984860686131,0.5884841468885693,12.206896551724139,0.7083333333333334
2018,RB,boost,58,3.323926220069249,4.4330754943547825,0.6550986910591174,10.827586206896552,0.7916666666666666
2018,RB,prototype,58,,,0.6467303613748043,11.275862068965518,0.75
2018,RB,ridge,58,3.2233721956218764,4.291011071427854,0.6433153444815736,11.241379310344827,0.75
2018,TE,baseline,51,2.156111674273439,2.824721904369338,0.5850179920455112,10.431372549019608,0.5833333333333334
2018,TE,boost,51,2.225573980359922,2.8433788915024767,0.5183534123864372,11.333333333333334,0.6666666666666666
2018,TE,prototype,51,,,0.5115300346318202,11.411764705882353,0.5833333333333334
2018,TE,ridge,51,2.069365192874602,2.7193455017625334,0.5552060639558077,10.745098039215685,0.6666666666666666
2018,WR,baseline,84,2.72615611802219,3.523311110116584,0.7076213287040365,13.80952380952381,0.75
2018,WR,boost,84,2.749992584518053,3.54921289654743,0.7034195987786449,13.666666666666666,0.8055555555555556
2018,WR,prototype,84,,,0.7280258767926463,13.476190476190476,0.75
2018,WR,ridge,84,2.616650250615799,3.3949910906158958,0.7430854778107954,12.904761904761905,0.8055555555555556
2019,QB,baseline,31,5.883260209324725,7.581769408540836,0.38185483870967746,7.67741935483871,0.5833333333333334
2019,QB,boost,31,4.615039762729632,5.759866249307932,0.4959677419354839,7.225806451612903,0.6666666666666666
2019,QB,prototype,31,,,0.5112903225806452,7.032258064516129,0.6666666666666666
2019,QB,ridge,31,4.734325783226116,5.922122341362697,0.5137096774193549,6.903225806451613,0.75
