player_id,player_name,position,prior_2025_games,naive_prev_ppr_pg,ridge_shadow_ppr_pg,boost_shadow_ppr_pg,rookie_or_no_2025_history
00-0035250,Devin Singletary,RB,17,6.4000,6.3427,5.9391,False
00-0039798,Isaiah Davis,RB,16,4.4500,5.0961,5.9018,False
00-0038454,Keaton Mitchell,RB,13,4.2615,6.0176,5.8478,False
00-0035243,Miles Sanders,RB,4,6.6750,5.0811,5.8469,False
00-0040198,Ollie Gordon II,RB,17,3.1824,4.3694,5.7118,False
00-0039373,Audric Estimé,RB,5,9.6200,7.6728,5.5872,False
00-0039921,Trey Benson,RB,4,8.8500,6.4343,5.5153,False
00-0037563,Malik Davis,RB,10,4.0600,5.0385,5.4581,False
00-0040466,Raheim Sanders,RB,4,5.0750,5.3881,5.3171,False
00-0039405,Jawhar Jordan,RB,4,7.4250,7.1056,5.1395,False
00-0040142,Kaleb Johnson,RB,10,0.8800,2.9353,4.8357,False
00-0040586,Jaydon Blue,RB,5,4.0800,4.6297,4.7756,False
00-0038440,Zavier Scott,RB,11,3.5636,4.4747,4.7124,False
00-0040179,DJ Giddens,RB,5,1.9200,4.2251,4.7105,False
00-0039757,Terrell Jennings,RB,6,2.5333,3.8623,4.5452,False
00-0040208,Tahj Brooks,RB,12,0.5333,2.4564,4.5107,False
00-0036906,Khalil Herbert,RB,5,1.3200,2.6358,4.5039,False
00-0040556,Corey Kiner,RB,4,2.3250,4.0404,4.4922,False
00-0034975,Justice Hill,RB,10,6.5200,6.2463,4.4494,False
00-0037267,Jerome Ford,RB,13,3.3538,4.4664,4.3733,False
00-0039794,Braelon Allen,RB,4,3.8250,3.1263,4.3492,False
00-0037258,Dameon Pierce,RB,5,0.7200,2.7495,4.3330,False
00-0038397,Evan Hull,RB,6,1.0667,2.7492,4.2344,False
00-0038040,Zamir White,RB,5,1.9200,2.3089,4.0098,False
00-0031687,Raheem Mostert,RB,12,2.4500,3.2916,3.5183,False
00-0036265,AJ Dillon,RB,6,1.5167,3.1241,3.0459,False
00-0036842,Kene Nwangwu,RB,10,1.0900,2.8266,3.0444,False
00-0032104,Ameer Abdullah,RB,13,2.9154,3.4693,3.0252,False
00-0033854,Dare Ogunbowale,RB,14,1.7214,2.9537,2.7276,False
00-0036425,DeeJay Dallas,RB,5,0.4200,1.8595,2.7034,False
00-0035291,Trayveon Williams,RB,6,2.8500,3.0519,2.6696,False
00-0038738,Hunter Luepke,RB,14,2.6429,3.3293,2.4477,False
00-0037594,Julius Chestnut,RB,16,0.2500,1.7838,2.3902,False
00-0038896,Jacob Saylors,RB,11,0.1000,2.3116,2.2348,False
00-0039407,Dylan Laube,RB,17,0.3353,1.9218,2.2285,False
00-0039796,Rasheen Ali,RB,15,1.6133,2.8100,2.1531,False
00-0037120,Tyler Goodson,RB,10,0.5200,1.9078,2.0701,False
00-0036187,Reggie Gilliam,RB,11,0.4364,2.3591,2.0401,False
00-0039021,Roschon Johnson,RB,6,0.2833,1.9208,1.9777,False
00-0039363,Isaac Guerendo,RB,7,0.0000,1.5606,1.8929,False
00-0035567,Craig Reynolds,RB,5,0.0800,2.1164,1.7154,False
00-0035594,Travis Homer,RB,8,-0.0250,1.4864,1.7005,False
00-0039364,Sione Vaki,RB,8,0.0500,1.5614,1.7005,False
00-0040205,Kalel Mullings,RB,4,0.1750,2.3023,1.4755,False
00-0034367,Nyheim Hines,RB,4,-0.0500,2.0113,1.3138,False
00-0033376,Patrick Ricard,RB,5,0.4200,1.7768,1.1920,False
00-0036414,Cam Akers,RB,4,1.7950,0.0000,0.8383,False
00-0036970,Kyle Pitts,TE,17,12.4000,10.9156,13.3040,False
00-0037744,Trey McBride,TE,17,18.5824,13.5525,12.7164,False
