player_id,player_name,position,rookie,draft_pick,age_sep1,experience_years,baseline_ppr_pg,ridge_ppr_pg,boost_ppr_pg,baseline_games,ridge_games,boost_games
00-0039376,Spencer Rattler,QB,False,150.0,25.925,2,11.0156,6.0492,8.333,9.0,4.01,3.552
00-0040673,Jalen Milroe,QB,False,92.0,23.718,1,-0.5333,5.755,6.2619,3.0,3.218,3.621
00-0035289,Gardner Minshew,QB,False,178.0,30.295,7,-0.08,5.6989,5.6736,4.0,1.484,2.284
00-0040206,Riley Leonard,QB,False,189.0,23.968,1,6.2,5.1419,5.5772,5.0,3.091,1.877
00-0040398,Brady Cook,QB,False,,24.888,1,5.692,4.6644,3.7928,5.0,2.52,0.726
00-0036679,Shane Buechele,QB,False,,28.647,5,3.92,4.1019,3.1314,1.0,2.436,1.801
00-0040494,Max Brosmer,QB,False,,25.43,1,0.6029,3.9759,4.2712,7.0,2.381,2.159
00-0033662,Cooper Rush,QB,False,,32.778,9,0.43,3.9574,4.1379,4.0,1.677,1.868
00-0037324,Chris Oladokun,QB,False,241.0,28.994,4,3.7333,3.9043,2.7976,3.0,0.598,1.116
00-0026300,Josh Johnson,QB,False,160.0,40.299,18,8.1267,3.7533,4.782,3.0,0.955,0.876
00-0038582,Clayton Tune,QB,False,139.0,27.445,3,0.99,3.6713,5.1551,2.0,0.0,1.278
00-0039577,Kedon Slovis,QB,False,,25.391,2,-0.04,3.2158,4.2579,2.0,2.178,1.616
00-0038658,Adrian Martinez,QB,False,,26.651,2,-0.1,3.1907,5.8161,1.0,2.28,1.685
00-0033319,Nick Mullens,QB,False,,31.45,9,-0.01,3.008,4.6548,4.0,1.008,2.127
00-0038416,Tyson Bagent,QB,False,,26.232,3,1.29,2.8996,4.7252,2.0,1.255,1.624
00-0034955,Brett Rypien,QB,False,,30.147,7,0.0,2.6915,4.4906,1.0,1.777,1.802
00-0034577,Kyle Allen,QB,False,,30.484,8,-0.15,2.1374,4.6331,2.0,0.858,1.871
00-0035100,Jake Browning,QB,False,,30.391,7,9.748,1.9744,2.8105,5.0,1.16,0.824
00-0032434,Brandon Allen,QB,False,201.0,33.988,10,0.88,1.5594,1.4996,1.0,0.0,0.849
00-0038542,Bijan Robinson,RB,False,8.0,24.586,3,21.8118,18.6858,18.8226,17.0,11.7,7.798
00-0039139,Jahmyr Gibbs,RB,False,12.0,24.452,3,21.5824,17.753,17.5963,17.0,10.006,8.323
00-0040122,Ashton Jeanty,RB,False,6.0,22.749,1,14.4176,17.4087,17.6648,17.0,8.871,6.531
00-0039040,De'Von Achane,RB,False,84.0,24.885,3,20.175,15.0785,14.4007,16.0,11.496,10.499
00-0036223,Jonathan Taylor,RB,False,41.0,27.617,6,21.3118,14.2605,14.0225,17.0,9.953,10.282
00-0038120,Breece Hall,RB,False,36.0,25.254,4,12.9787,13.2568,11.3066,16.0,9.075,8.877
00-0036997,Javonte Williams,RB,False,35.0,26.352,5,15.175,12.613,14.459,16.0,8.837,9.508
00-0038597,Chase Brown,RB,False,163.0,26.448,3,16.6235,11.6174,13.3306,17.0,9.679,11.732
00-0039361,Bucky Irving,RB,False,125.0,24.036,2,13.85,11.5934,12.7282,10.0,7.156,9.289
00-0040784,Quinshon Judkins,RB,False,36.0,22.842,1,12.1286,11.5067,11.432,14.0,8.59,8.419
00-0040715,Cam Skattebo,RB,False,105.0,24.57,1,15.9625,11.0609,11.8871,8.0,6.876,7.851
00-0032764,Derrick Henry,RB,False,45.0,32.658,10,16.4412,9.9596,11.9228,17.0,7.174,10.696
00-0039032,Tyjae Spears,RB,False,81.0,25.213,3,8.5923,9.5248,7.8613,13.0,7.501,5.101
00-0041027,Jeremiyah Love,RB,True,3.0,21.254,0,12.5685,9.3719,12.8427,6.5,6.109,6.446
00-0036158,J.K. Dobbins,RB,False,55.0,27.708,6,11.59,9.0581,8.0239,10.0,7.148,6.305
00-0037256,Rachaad White,RB,False,91.0,27.636,4,8.4118,8.967,8.3057,17.0,7.958,4.261
00-0039384,Tyrone Tracy Jr.,RB,False,166.0,26.774,2,10.72,8.639,7.3581,15.0,8.593,9.515
00-0040162,Dylan Sampson,RB,False,126.0,21.963,1,5.84,8.5786,8.1538,15.0,7.182,6.353
00-0035685,David Montgomery,RB,False,73.0,29.235,7,9.8188,8.4165,6.0391,17.0,6.87,6.888
00-0035261,Tony Pollard,RB,False,128.0,29.339,7,10.9294,7.8229,7.9331,17.0,7.918,7.97
00-0039921,Trey Benson,RB,False,66.0,24.11,2,8.85,7.4781,5.3172,4.0,7.319,4.584
00-0033906,Alvin Kamara,RB,False,67.0,31.105,9,9.1545,7.4297,6.5257,11.0,5.368,3.838
00-0041512,Jadarian Price,RB,True,32.0,22.897,0,12.5685,7.2168,9.9339,6.5,6.564,6.446
00-0033293,Aaron Jones,RB,False,182.0,31.749,9,9.8917,6.9432,5.7973,12.0,5.866,6.279
00-0033553,James Conner,RB,False,105.0,31.327,9,11.1,6.8918,6.2377,3.0,3.496,3.953
00-0039373,Audric Estimé,RB,False,147.0,22.987,2,9.62,6.8043,5.2497,5.0,6.81,3.787
00-0033923,Kareem Hunt,RB,False,86.0,31.073,9,8.5529,6.6022,6.0267,17.0,6.206,7.528
00-0036924,Michael Carter,RB,False,107.0,27.322,5,7.6154,6.5796,6.5007,13.0,5.666,4.898
00-0036893,Najee Harris,RB,False,24.0,28.482,5,3.8667,6.1459,7.0754,3.0,4.301,3.545
00-0036414,Cam Akers,RB,False,52.0,27.196,6,1.795,6.0635,4.7979,4.0,5.133,3.015
00-0035250,Devin Singletary,RB,False,74.0,28.994,7,6.4,6.0166,4.921,17.0,6.492,4.815
00-0034975,Justice Hill,RB,False,113.0,28.797,7,6.52,5.953,4.7174,10.0,4.856,4.897
00-0040202,Devin Neal,RB,False,184.0,23.056,1,6.6667,5.9061,5.8642,9.0,5.625,7.703
00-0039874,Jaylen Wright,RB,False,120.0,23.42,2,5.3556,5.8467,6.793,9.0,6.248,6.799
00-0038551,Kendre Miller,RB,False,71.0,24.225,3,4.7571,5.7224,5.6707,7.0,4.886,4.948
00-0040242,Jacory Croskey-Merritt,RB,False,245.0,25.389,1,8.2529,5.655,4.8886,17.0,6.801,6.323
00-0037525,Jordan Mason,RB,False,,27.275,4,8.0563,5.5915,6.2014,16.0,5.872,6.444
00-0035243,Miles Sanders,RB,False,53.0,29.337,7,6.675,5.5464,4.2465,4.0,4.26,2.787
00-0037263,Tyler Allgeier,RB,False,151.0,26.38,4,7.2353,5.5036,5.0009,17.0,6.913,4.469
00-0040078,Brashard Smith,RB,False,228.0,23.393,1,3.7235,5.4717,6.8164,17.0,6.482,6.991
00-0037157,Bam Knight,RB,False,,25.391,4,7.7417,5.4511,4.3441,12.0,4.643,5.725
00-0041052,Kaelon Black,RB,True,90.0,24.874,0,5.1905,5.4428,4.441,4.794,6.199,5.14
00-0041496,Jonah Coleman,RB,True,108.0,23.034,0,4.9482,5.3703,4.336,7.679,6.085,6.446
00-0035537,Ty Johnson,RB,False,186.0,28.956,7,5.9,5.2641,5.8033,17.0,5.491,5.998
00-0040878,Mike Washington Jr.,RB,True,122.0,23.165,0,4.9482,5.1853,4.336,7.679,6.053,6.446
00-0037197,Isiah Pacheco,RB,False,251.0,27.502,4,6.7154,5.0901,4.1756,13.0,5.575,4.642
00-0037267,Jerome Ford,RB,False,156.0,26.971,4,3.3538,5.0377,4.888,13.0,5.509,3.798
00-0039405,Jawhar Jordan,RB,False,205.0,27.04,2,7.425,4.9935,2.9093,4.0,4.752,3.077
00-0036360,Clyde Edwards-Helaire,RB,False,32.0,27.393,6,2.1,4.9321,6.7408,2.0,2.076,2.317
00-0039798,Isaiah Davis,RB,False,173.0,24.526,2,4.45,4.9204,5.2528,16.0,7.038,6.279
00-0040142,Kaleb Johnson,RB,False,83.0,23.05,1,0.88,4.7759,5.7598,10.0,5.429,6.032
00-0040198,Ollie Gordon II,RB,False,179.0,22.629,1,3.1824,4.7742,5.5767,17.0,6.213,6.201
00-0033526,Samaje Perine,RB,False,114.0,30.96,9,5.1933,4.7191,4.4672,15.0,5.324,5.186
00-0040586,Jaydon Blue,RB,False,149.0,22.648,1,4.08,4.6997,5.1343,5.0,4.388,5.77
00-0040888,Adam Randall,RB,True,174.0,22.133,0,4.9482,4.6775,4.1042,7.679,5.804,6.222
00-0040886,Nicholas Singleton,RB,True,165.0,22.653,0,4.9482,4.6698,4.0652,7.679,5.806,6.489
00-0041013,Emmett Johnson,RB,True,161.0,22.894,0,4.9482,4.6655,3.9521,7.679,5.807,6.489
00-0040021,Phil Mafah,RB,False,239.0,23.855,1,10.9,4.6364,5.7375,1.0,3.327,3.393
00-0038454,Keaton Mitchell,RB,False,,24.622,3,4.2615,4.6357,6.0492,13.0,5.34,6.203
00-0033955,Jeremy McNichols,RB,False,162.0,30.684,9,4.5438,4.5473,5.8846,16.0,5.359,4.81
00-0041081,Max Bredeson,RB,True,159.0,23.91,0,4.9482,4.5063,3.3309,7.679,5.768,5.612
00-0036328,Antonio Gibson,RB,False,66.0,28.192,6,4.64,4.4535,5.127,5.0,4.268,4.514
00-0039794,Braelon Allen,RB,False,134.0,22.615,2,3.825,4.3576,5.1669,4.0,4.423,7.08
00-0041104,Demond Claiborne,RB,True,198.0,22.897,0,3.0249,4.1639,3.1502,4.506,5.536,5.434
00-0041096,Kaytron Allen,RB,True,187.0,23.647,0,3.0249,4.1282,3.3408,4.506,5.536,5.18
00-0040179,DJ Giddens,RB,False,151.0,23.018,1,1.92,4.0868,5.1739,5.0,4.709,5.85
00-0038611,Chris Rodriguez Jr.,RB,False,193.0,26.933,3,7.6667,4.0664,4.1483,12.0,5.561,6.397
