player_id,player_name,position,target_season,target_games,target_max_games,PREV_RATE,PREV_GAMES,POSITION_MEAN,RIDGE_MINIMAL,RIDGE_MINIMAL_lo80,RIDGE_MINIMAL_hi80,RIDGE_MINIMAL_resid_q10,RIDGE_MINIMAL_resid_q90,RIDGE_MINIMAL_fallback,POISSON_MINIMAL,POISSON_MINIMAL_lo80,POISSON_MINIMAL_hi80,POISSON_MINIMAL_resid_q10,POISSON_MINIMAL_resid_q90,POISSON_MINIMAL_fallback,RIDGE_FULL,RIDGE_FULL_lo80,RIDGE_FULL_hi80,RIDGE_FULL_resid_q10,RIDGE_FULL_resid_q90,RIDGE_FULL_fallback,MULTINOMIAL_HURDLE,MULTINOMIAL_HURDLE_lo80,MULTINOMIAL_HURDLE_hi80,MULTINOMIAL_HURDLE_resid_q10,MULTINOMIAL_HURDLE_resid_q90,MULTINOMIAL_HURDLE_fallback
00-0021206,Josh McCown,QB,2018,4,16,13.0,13.0,4.747826086956522,6.220047264630377,0.9651586591731869,14.051485160434055,-5.25488860545719,7.831437895803678,False,5.951816622211353,1.179883966231718,12.989875640019072,-4.771932655979635,7.03805901780772,False,7.0241808715159255,1.4065631509188155,14.357902939797185,-5.61761772059711,7.33372206828126,False,5.631111427913782,1.0513349934110279,12.422162760819788,-4.5797764345027545,6.791051332906006,False
00-0021429,Carson Palmer,QB,2018,0,16,7.0,7.0,4.747826086956522,5.149337187847531,0.0,12.98077508365121,-5.25488860545719,7.831437895803678,False,4.518066360734402,0.0,11.556125378542122,-4.771932655979635,7.03805901780772,False,5.513250440079202,0.0,12.846972508360462,-5.61761772059711,7.33372206828126,False,4.108797934779465,0.0,10.899849267685472,-4.5797764345027545,6.791051332906006,False
00-0022803,Eli Manning,QB,2018,16,16,15.0,15.0,4.747826086956522,8.259016150174926,3.0041275447177354,16.0,-5.25488860545719,7.831437895803678,False,9.172419173969235,4.4004865179896,16.0,-4.771932655979635,7.03805901780772,False,7.332565144037175,1.7149474234400648,14.666287212318434,-5.61761772059711,7.33372206828126,False,9.950953517585711,5.371177083082957,16.0,-4.5797764345027545,6.791051332906006,False
00-0022942,Philip Rivers,QB,2018,0,16,16.0,16.0,4.747826086956522,8.168562104196322,2.913673498739132,16.0,-5.25488860545719,7.831437895803678,False,8.96194098219228,4.190008326212645,16.0,-4.771932655979635,7.03805901780772,False,8.639122398015111,3.021504677418001,15.97284446629637,-5.61761772059711,7.33372206828126,False,9.208948667093994,4.629172232591239,16.0,-4.5797764345027545,6.791051332906006,False
00-0023459,Aaron Rodgers,QB,2018,16,16,7.0,7.0,4.747826086956522,4.947189646231768,0.0,12.778627542035446,-5.25488860545719,7.831437895803678,False,4.422649804975205,0.0,11.460708822782927,-4.771932655979635,7.03805901780772,False,7.1592584210862205,1.5416407004891104,14.49298048936748,-5.61761772059711,7.33372206828126,False,4.332779845300024,0.0,11.12383117820603,-4.5797764345027545,6.791051332906006,False
00-0023662,Matt Cassel,QB,2018,2,16,2.0,2.0,4.747826086956522,2.549510697442612,0.0,10.38094859324629,-5.25488860545719,7.831437895803678,False,2.5866504348115065,0.0,9.624709452619227,-4.771932655979635,7.03805901780772,False,0.31197871795070053,0.0,7.64570078623196,-5.61761772059711,7.33372206828126,False,2.5853107895552263,0.0,9.376362122461233,-4.5797764345027545,6.791051332906006,False
00-0023682,Ryan Fitzpatrick,QB,2018,8,16,6.0,6.0,4.747826086956522,4.7353588748546365,0.0,12.566796770658314,-5.25488860545719,7.831437895803678,False,4.124320794363785,0.0,11.162379812171505,-4.771932655979635,7.03805901780772,False,5.210099013340669,0.0,12.543821081621928,-5.61761772059711,7.33372206828126,False,3.724033562398115,0.0,10.51508489530412,-4.5797764345027545,6.791051332906006,False
00-0024226,Jay Cutler,QB,2018,0,16,14.0,14.0,4.747826086956522,6.545703090049865,1.2908144845926746,14.377140985853543,-5.25488860545719,7.831437895803678,False,6.410334693070993,1.6384020370913586,13.448393710878713,-4.771932655979635,7.03805901780772,False,6.154304214030821,0.5366864934337112,13.488026282312081,-5.61761772059711,7.33372206828126,False,6.1899857445939475,1.610209310091193,12.981037077499954,-4.5797764345027545,6.791051332906006,False
00-0024264,Kellen Clemens,QB,2018,0,16,3.0,3.0,4.747826086956522,2.6101990601418756,0.0,10.441636955945553,-5.25488860545719,7.831437895803678,False,2.6476580323056913,0.0,9.68571705011341,-4.771932655979635,7.03805901780772,False,1.7322370057645502,0.0,9.06595907404581,-5.61761772059711,7.33372206828126,False,2.6033035871683863,0.0,9.394354920074392,-4.5797764345027545,6.791051332906006,False
00-0025430,Drew Stanton,QB,2018,0,16,5.0,5.0,4.747826086956522,3.6148006612744807,0.0,11.446238557078159,-5.25488860545719,7.831437895803678,False,3.2870040221200107,0.0,10.32506303992773,-4.771932655979635,7.03805901780772,False,3.597067819215153,0.0,10.930789887496413,-5.61761772059711,7.33372206828126,False,2.9967961384648003,0.0,9.787847471370807,-4.5797764345027545,6.791051332906006,False
00-0025708,Matt Moore,QB,2018,0,16,4.0,4.0,4.747826086956522,3.7052547072530837,0.0,11.53669260305676,-5.25488860545719,7.831437895803678,False,3.3642018818597834,0.0,10.402260899667503,-4.771932655979635,7.03805901780772,False,3.7856441911344483,0.0,11.119366259415708,-5.61761772059711,7.33372206828126,False,3.284223278719346,0.0,10.075274611625353,-4.5797764345027545,6.791051332906006,False
00-0026158,Joe Flacco,QB,2018,9,16,16.0,16.0,4.747826086956522,8.168562104196322,2.913673498739132,16.0,-5.25488860545719,7.831437895803678,False,8.96194098219228,4.190008326212645,16.0,-4.771932655979635,7.03805901780772,False,7.210267167300149,1.5926494467030388,14.543989235581408,-5.61761772059711,7.33372206828126,False,9.208948667093994,4.629172232591239,16.0,-4.5797764345027545,6.791051332906006,False
00-0026197,Chad Henne,QB,2018,1,16,2.0,2.0,4.747826086956522,2.2845432347223884,0.0,10.115981130526066,-5.25488860545719,7.831437895803678,False,2.4582764927456644,0.0,9.496335510553385,-4.771932655979635,7.03805901780772,False,2.4890468055926673,0.0,9.822768873873926,-5.61761772059711,7.33372206828126,False,2.514226728981386,0.0,9.305278061887392,-4.5797764345027545,6.791051332906006,False
