position,model,feature,seasons,median_standardized_coefficient,median_abs_coefficient,positive_fraction,negative_fraction,direction_consistency,stable
QB,downside,prev1_int_pg,8,-0.10112155816986418,0.10112155816986418,0.0,1.0,1.0,True
QB,downside,prev1_pass_tds_pg,8,0.2873552191480315,0.2873552191480315,0.875,0.125,0.875,True
QB,downside,prev1_rec_yards_pg,8,0.15735290460215007,0.15735290460215007,0.875,0.125,0.875,True
QB,downside,experience_years,8,0.11393273761084513,0.11393273761084513,0.875,0.125,0.875,True
QB,downside,prev1_rush_ypc,8,0.09814504838644791,0.09814504838644791,0.875,0.125,0.875,True
QB,downside,prev1_air_yards_share,8,0.09697048740372699,0.09697048740372699,0.875,0.125,0.875,True
QB,downside,age_sep1,8,0.09522580188067634,0.09522580188067634,0.875,0.125,0.875,True
QB,downside,prev1_rec_tds_pg,8,0.23148502033724727,0.23148502033724727,0.75,0.25,0.75,True
QB,downside,has_prev2,8,0.06469975284915,0.06469975284915,0.75,0.25,0.75,True
QB,downside,prev1_carries_pg,8,-0.04452635302399771,0.04452635302399771,0.25,0.75,0.75,False
QB,downside,prev1_rec_epa_pg,8,-0.034043662340449955,0.04305975096609152,0.375,0.625,0.625,False
QB,downside,prev1_targets_pg,8,-0.05652121920600076,0.09908013815628067,0.5,0.5,0.5,False
QB,downside,prev1_rush_epa_pg,8,-0.004064204995262953,0.020533863899318536,0.5,0.5,0.5,False
QB,downside,age_missing,8,0.0,0.0,0.0,0.0,0.0,False
QB,low_availability,prev1_pass_ypa,8,0.5885615270983016,0.5885615270983016,1.0,0.0,1.0,True
QB,low_availability,prev1_pass_epa_pg,8,-0.47914870137100973,0.47914870137100973,0.0,1.0,1.0,True
QB,low_availability,prev1_rush_epa_pg,8,0.4649630087908304,0.4649630087908304,1.0,0.0,1.0,True
QB,low_availability,prev1_rush_ypc,8,-0.4318238159959519,0.4318238159959519,0.0,1.0,1.0,True
QB,low_availability,prev1_games,8,-0.41510168480092124,0.41510168480092124,0.0,1.0,1.0,True
QB,low_availability,prev2_games,8,-0.35456251819258366,0.35456251819258366,0.0,1.0,1.0,True
QB,low_availability,prev1_rec_yards_pg,8,0.3040747768001041,0.3040747768001041,1.0,0.0,1.0,True
