season,position,feature,mae_increase
2021,QB,prev1_rush_yards_pg,0.000505511083891097
2021,QB,prev1_pass_tds_pg,0.00020430049882715906
2021,QB,prev1_targets_pg,0.0
2021,QB,prev1_receptions_pg,0.0
2021,QB,prev1_rush_tds_pg,0.0
2021,QB,prev1_rec_tds_pg,0.0
2021,QB,prev1_rec_epa_pg,0.0
2021,QB,prev1_target_share,0.0
2021,QB,prev1_wopr,0.0
2021,QB,prev1_rec_ypt,0.0
2021,QB,age_missing,0.0
2021,QB,prev1_int_pg,-0.0003094080497658247
2021,QB,ppr_delta,-0.004119139050786558
2021,QB,prev1_rec_yards_pg,-0.010200639209550744
2021,QB,prev1_pass_ypa,-0.012980081754113382
2021,QB,prev1_air_yards_share,-0.04401095696324919
2021,QB,age_sep1,-0.06591518655654385
2022,QB,weighted_ppr_pg,0.4617837014514201
2022,QB,prev1_games,0.31712670243077845
2022,QB,prev1_rush_ypc,0.12001246916682193
2022,QB,age_sep1,0.09392355128590824
2022,QB,prev1_attempts_pg,0.07780471208342785
2022,QB,prev1_pass_ypa,0.07582883011039217
2022,QB,prev2_ppr_pg,0.05713031065659546
2022,QB,prev1_carries_pg,0.05666096680332773
2022,QB,prev1_ppr_pg,0.04158440240741577
2022,QB,prev1_pass_epa_pg,0.01110424475109184
2022,QB,prev1_pass_yards_pg,0.005928689341509053
2022,QB,ppr_delta,0.004179510579971702
2022,QB,prev1_targets_pg,0.0
2022,QB,prev1_receptions_pg,0.0
2022,QB,prev1_pass_tds_pg,0.0
2022,QB,prev1_rush_tds_pg,0.0
2022,QB,prev1_rec_yards_pg,0.0
2022,QB,prev1_rec_tds_pg,0.0
2022,QB,prev1_rec_epa_pg,0.0
2022,QB,prev1_target_share,0.0
2022,QB,prev1_air_yards_share,0.0
2022,QB,prev1_rec_ypt,0.0
2022,QB,age_missing,0.0
2022,QB,prev1_wopr,-0.0027015981089713926
2022,QB,log_draft_pick,-0.009657490629924492
2022,QB,prev2_games,-0.009692762174395676
2022,QB,games_delta,-0.012750678183601937
2022,QB,draft_round,-0.02237382855822423
2022,QB,experience_years,-0.02410476974603206
2022,QB,drafted,-0.02526576350141143
2022,QB,has_prev2,-0.029255488718928115
2022,QB,prev1_int_pg,-0.038626029909018644
2022,QB,prev1_rush_yards_pg,-0.04506685232662635
2022,QB,prev1_rush_epa_pg,-0.06209429898062755
2023,QB,weighted_ppr_pg,0.43034661111891276
2023,QB,prev2_ppr_pg,0.21923906564360857
2023,QB,prev1_games,0.209494637352444
2023,QB,prev1_pass_epa_pg,0.16530682014825188
2023,QB,prev1_carries_pg,0.09802284260321911
2023,QB,prev1_ppr_pg,0.07566990476262454
2023,QB,prev1_rush_ypc,0.06285458272994796
2023,QB,prev1_rush_yards_pg,0.04114450666259319
2023,QB,prev1_receptions_pg,0.015727192735551655
2023,QB,experience_years,0.012436591634934224
2023,QB,prev1_targets_pg,0.0018345845686742023
2023,QB,ppr_delta,0.0006533512242635098
2023,QB,prev1_rush_tds_pg,0.0
2023,QB,prev1_rec_yards_pg,0.0
2023,QB,prev1_rec_tds_pg,0.0
2023,QB,prev1_rec_epa_pg,0.0
2023,QB,prev1_target_share,0.0
2023,QB,prev1_rec_ypt,0.0
2023,QB,games_delta,0.0
2023,QB,has_prev2,0.0
2023,QB,age_missing,0.0
2023,QB,prev1_air_yards_share,-3.552713678800501e-16
2023,QB,draft_round,-0.0005213299026431528
2023,QB,prev1_attempts_pg,-0.001456642275107356
2023,QB,prev1_pass_ypa,-0.0022414077030175504
2023,QB,prev1_pass_tds_pg,-0.0036016308495410597
2023,QB,prev1_pass_yards_pg,-0.005555006057956469
2023,QB,log_draft_pick,-0.011376230751310602
2023,QB,prev1_wopr,-0.013509942160489175
2023,QB,prev1_int_pg,-0.015241270595864975
2023,QB,drafted,-0.018165845867091156
2023,QB,age_sep1,-0.029845683345512696
2023,QB,prev2_games,-0.04357607671594064
2023,QB,prev1_rush_epa_pg,-0.06161295919544489
2024,QB,weighted_ppr_pg,0.32005811723213834
2024,QB,prev1_games,0.26841924348953283
2024,QB,prev2_ppr_pg,0.15637692449510787
2024,QB,prev1_rush_ypc,0.14420235399537748
2024,QB,prev1_pass_ypa,0.09110299541323545
2024,QB,prev1_carries_pg,0.08043976450498533
2024,QB,draft_round,0.055652538371738024
2024,QB,age_sep1,0.05243266961642803
2024,QB,prev1_rush_epa_pg,0.046522004675721186
2024,QB,ppr_delta,0.033180417908063656
2024,QB,prev2_games,0.023601682664882516
2024,QB,drafted,0.019911308653724903
2024,QB,prev1_targets_pg,0.012273457993434711
2024,QB,prev1_rush_yards_pg,0.010723080676152286
2024,QB,log_draft_pick,0.009460471934787763
2024,QB,games_delta,0.008809065604048172
2024,QB,experience_years,0.00813753344281487
2024,QB,prev1_rush_tds_pg,0.0049646609818394085
2024,QB,prev1_pass_tds_pg,0.004214847823734403
2024,QB,prev1_ppr_pg,0.0027261659378286394
2024,QB,prev1_receptions_pg,0.0
2024,QB,prev1_rec_yards_pg,0.0
2024,QB,prev1_rec_tds_pg,0.0
2024,QB,prev1_rec_epa_pg,0.0
2024,QB,prev1_target_share,0.0
2024,QB,prev1_air_yards_share,0.0
2024,QB,prev1_wopr,0.0
2024,QB,prev1_rec_ypt,0.0
2024,QB,has_prev2,0.0
2024,QB,age_missing,0.0
2024,QB,prev1_int_pg,-0.011271178054814968
2024,QB,prev1_pass_epa_pg,-0.016344364636711895
2024,QB,prev1_pass_yards_pg,-0.016996830744380277
2024,QB,prev1_attempts_pg,-0.022305118027717265
2025,QB,prev1_games,0.2226628900930109
2025,QB,prev1_pass_ypa,0.12072436542807115
2025,QB,prev1_carries_pg,0.09148505694581513
2025,QB,prev1_rush_epa_pg,0.07278776292072724
2025,QB,ppr_delta,0.0654981037610316
2025,QB,prev2_ppr_pg,0.0596592950194859
2025,QB,prev1_int_pg,0.02932450790092833
2025,QB,log_draft_pick,0.02456200515284195
2025,QB,prev1_rec_epa_pg,0.010195078259331147
2025,QB,games_delta,0.00825226047053267
2025,QB,prev1_rush_tds_pg,0.006038874291274787
2025,QB,prev1_pass_tds_pg,0.00424936214050291
2025,QB,prev1_targets_pg,0.0
2025,QB,prev1_receptions_pg,0.0
2025,QB,prev1_rec_yards_pg,0.0
2025,QB,prev1_rec_tds_pg,0.0
2025,QB,prev1_target_share,0.0
2025,QB,prev1_air_yards_share,0.0
2025,QB,prev1_wopr,0.0
2025,QB,prev1_rec_ypt,0.0
2025,QB,has_prev2,0.0
2025,QB,age_missing,0.0
2025,QB,prev1_rush_yards_pg,-0.006441528935988217
2025,QB,experience_years,-0.012423432455682892
2025,QB,prev1_pass_yards_pg,-0.013626373595385922
2025,QB,drafted,-0.016556522415891096
2025,QB,weighted_ppr_pg,-0.02429341613225038
2025,QB,prev1_pass_epa_pg,-0.03222081751817161
2025,QB,draft_round,-0.03426756048950956
2025,QB,prev1_ppr_pg,-0.03467425986117103
2025,QB,prev1_rush_ypc,-0.07036298574757875
2025,QB,prev1_attempts_pg,-0.08102989717373496
2025,QB,age_sep1,-0.14229852244557223
2025,QB,prev2_games,-0.16617453622791628
2018,RB,prev1_rush_ypc,0.20433090309861432
2018,RB,prev1_rush_yards_pg,0.17892859010052983
2018,RB,prev1_games,0.1280029772230038
2018,RB,prev1_target_share,0.09628114488079235
2018,RB,prev1_rec_ypt,0.07312924588051031
2018,RB,prev1_rush_epa_pg,0.04465068530239726
2018,RB,prev1_carries_pg,0.036574690960020285
2018,RB,prev1_rush_tds_pg,0.026364843903433764
2018,RB,age_sep1,0.023504706689193976
2018,RB,prev1_rec_epa_pg,0.019794025135859438
2018,RB,games_delta,0.017780891707997525
2018,RB,prev1_attempts_pg,0.0
2018,RB,prev1_pass_yards_pg,0.0
2018,RB,prev1_pass_tds_pg,0.0
2018,RB,prev1_int_pg,0.0
2018,RB,prev1_rec_tds_pg,0.0
2018,RB,prev1_pass_epa_pg,0.0
2018,RB,prev1_pass_ypa,0.0
2018,RB,ppr_delta,0.0
2018,RB,has_prev2,0.0
2018,RB,age_missing,0.0
2018,RB,drafted,0.0
2018,RB,prev1_targets_pg,-0.00544541378454042
2018,RB,log_draft_pick,-0.005456441521971467
2018,RB,draft_round,-0.0070258730319687325
2018,RB,weighted_ppr_pg,-0.008485442598225567
2018,RB,prev2_ppr_pg,-0.01040409974697809
2018,RB,experience_years,-0.011221838835551612
2018,RB,prev2_games,-0.016005099935932687
2018,RB,prev1_ppr_pg,-0.01758282646416722
2018,RB,prev1_receptions_pg,-0.025010480237187417
2018,RB,prev1_air_yards_share,-0.025361575801649928
2018,RB,prev1_rec_yards_pg,-0.03773540523474024
2018,RB,prev1_wopr,-0.04776689331495092
2019,RB,prev1_ppr_pg,0.618284001429908
2019,RB,prev1_wopr,0.15853679853770125
2019,RB,log_draft_pick,0.1364524677708096
2019,RB,prev1_rush_yards_pg,0.12641934754923306
2019,RB,weighted_ppr_pg,0.08819593220699166
2019,RB,prev1_target_share,0.08392801600326942
2019,RB,prev1_rush_ypc,0.07166967509620817
2019,RB,age_sep1,0.06968671239068058
2019,RB,prev1_games,0.06911294895515212
2019,RB,prev1_air_yards_share,0.06763063765627608
2019,RB,prev2_ppr_pg,0.04880936757762964
2019,RB,prev1_carries_pg,0.039437219790728936
2019,RB,prev1_rec_yards_pg,0.03597758967978759
2019,RB,prev1_rush_tds_pg,0.013321274227296787
2019,RB,prev1_targets_pg,0.005503203876178375
2019,RB,ppr_delta,0.001638479078902133
2019,RB,prev1_pass_yards_pg,0.0
2019,RB,prev1_pass_tds_pg,0.0
2019,RB,prev1_int_pg,0.0
2019,RB,prev1_pass_epa_pg,0.0
2019,RB,prev1_pass_ypa,0.0
2019,RB,games_delta,0.0
2019,RB,has_prev2,0.0
2019,RB,age_missing,0.0
2019,RB,drafted,0.0
2019,RB,prev2_games,-0.0004335842333158091
2019,RB,draft_round,-0.0025336939215121037
2019,RB,prev1_rush_epa_pg,-0.004767633714609243
2019,RB,prev1_receptions_pg,-0.0067783420540502345
2019,RB,experience_years,-0.007954841357185938
2019,RB,prev1_rec_tds_pg,-0.010003148645832382
2019,RB,prev1_rec_epa_pg,-0.01605370842052407
2019,RB,prev1_attempts_pg,-0.018774945698568146
2019,RB,prev1_rec_ypt,-0.028466275249677687
2020,RB,prev1_ppr_pg,0.31791677807790614
2020,RB,log_draft_pick,0.11927473462006022
2020,RB,weighted_ppr_pg,0.11036233345297228
2020,RB,prev1_rush_yards_pg,0.07698294135337606
2020,RB,prev1_target_share,0.05894643201827891
2020,RB,prev1_carries_pg,0.04996356768309962
2020,RB,prev1_rush_epa_pg,0.031876007721697075
2020,RB,prev1_rec_yards_pg,0.031867174010571285
2020,RB,prev1_rec_epa_pg,0.01364641022219475
2020,RB,prev1_targets_pg,0.008437555232936234
2020,RB,has_prev2,0.005027106890240685
2020,RB,games_delta,0.0015922002916763489
2020,RB,draft_round,0.001346809575684471
2020,RB,ppr_delta,0.0008683931738995732
2020,RB,prev1_rec_ypt,0.0001903862690034508
2020,RB,prev1_attempts_pg,0.0
2020,RB,prev1_pass_yards_pg,0.0
2020,RB,prev1_pass_tds_pg,0.0
2020,RB,prev1_int_pg,0.0
2020,RB,prev1_rec_tds_pg,0.0
2020,RB,prev1_pass_epa_pg,0.0
2020,RB,prev1_pass_ypa,0.0
2020,RB,age_missing,0.0
2020,RB,drafted,0.0
2020,RB,prev2_games,-0.0028536850936266233
2020,RB,prev2_ppr_pg,-0.0064526005102027995
2020,RB,experience_years,-0.0069621450814594255
2020,RB,age_sep1,-0.0087941627257619
2020,RB,prev1_wopr,-0.010822051363902662
2020,RB,prev1_rush_tds_pg,-0.012363687357253194
2020,RB,prev1_receptions_pg,-0.013414144894093916
2020,RB,prev1_rush_ypc,-0.055547023910862324
2020,RB,prev1_air_yards_share,-0.07684261059610273
2020,RB,prev1_games,-0.08204373895895731
2021,RB,prev1_ppr_pg,0.5121592238919195
2021,RB,log_draft_pick,0.2548530409822288
2021,RB,prev1_target_share,0.10861675560357247
2021,RB,prev1_rec_epa_pg,0.10703827411927405
2021,RB,weighted_ppr_pg,0.10185848520305463
2021,RB,prev1_receptions_pg,0.051997920564961844
2021,RB,prev1_rush_epa_pg,0.04376956527122857
2021,RB,prev1_air_yards_share,0.040741859686277325
2021,RB,prev1_rush_yards_pg,0.03540159953256454
2021,RB,prev1_wopr,0.02894251288329448
2021,RB,draft_round,0.015630330802893423
2021,RB,experience_years,0.011941965407531452
2021,RB,prev1_pass_epa_pg,0.009074535785079264
2021,RB,prev1_rec_ypt,0.007616310071493793
2021,RB,prev1_rec_tds_pg,0.007524333140479111
2021,RB,prev1_carries_pg,0.006058543158819596
2021,RB,prev2_ppr_pg,0.0002892556379693545
2021,RB,prev1_attempts_pg,0.0
2021,RB,prev1_pass_yards_pg,0.0
2021,RB,prev1_pass_tds_pg,0.0
2021,RB,prev1_int_pg,0.0
2021,RB,prev1_pass_ypa,0.0
2021,RB,ppr_delta,0.0
2021,RB,age_missing,0.0
2021,RB,drafted,0.0
2021,RB,prev1_targets_pg,-0.002483829557554973
2021,RB,prev1_rush_tds_pg,-0.002653419186224948
2021,RB,has_prev2,-0.003346404725755736
2021,RB,prev1_games,-0.009008353961913417
2021,RB,games_delta,-0.00954564719374904
2021,RB,prev2_games,-0.02066080382990245
2021,RB,prev1_rec_yards_pg,-0.027879526957976443
2021,RB,age_sep1,-0.05671920600941673
2021,RB,prev1_rush_ypc,-0.062155945321960185
2022,RB,prev1_rush_yards_pg,0.08451666325642622
2022,RB,log_draft_pick,0.0791027499447079
2022,RB,experience_years,0.018788350426489853
2022,RB,prev2_games,0.015317766256508759
2022,RB,weighted_ppr_pg,0.007034922968982648
2022,RB,games_delta,0.00691065011428309
2022,RB,prev1_rush_epa_pg,0.005360894609987721
2022,RB,prev1_rec_yards_pg,0.004594595481345198
2022,RB,prev1_rush_tds_pg,0.003058873741143486
2022,RB,prev1_attempts_pg,0.0
2022,RB,prev1_targets_pg,0.0
2022,RB,prev1_pass_yards_pg,0.0
2022,RB,prev1_pass_tds_pg,0.0
2022,RB,prev1_int_pg,0.0
2022,RB,prev1_pass_ypa,0.0
2022,RB,prev2_ppr_pg,0.0
2022,RB,age_missing,0.0
2022,RB,draft_round,0.0
2022,RB,drafted,0.0
2022,RB,prev1_rec_ypt,-0.0015509697718189663
2022,RB,ppr_delta,-0.002413594830967547
2022,RB,prev1_rec_tds_pg,-0.003242011039545378
2022,RB,prev1_ppr_pg,-0.00815652220512364
2022,RB,prev1_rush_ypc,-0.008351898073980023
2022,RB,prev1_carries_pg,-0.00966123932739631
2022,RB,prev1_receptions_pg,-0.013019647342613183
2022,RB,has_prev2,-0.019167393365937625
2022,RB,prev1_pass_epa_pg,-0.02351463510153682
2022,RB,age_sep1,-0.02702365914103382
2022,RB,prev1_games,-0.03129113917731976
2022,RB,prev1_air_yards_share,-0.03348748871304732
2022,RB,prev1_rec_epa_pg,-0.03541676326687817
2022,RB,prev1_wopr,-0.08052601722274284
2022,RB,prev1_target_share,-0.2304427005901033
2023,RB,prev1_ppr_pg,0.5389318911447573
2023,RB,log_draft_pick,0.3616588928288366
2023,RB,weighted_ppr_pg,0.2862317591414122
2023,RB,prev1_rush_yards_pg,0.1851339997889146
2023,RB,prev2_games,0.09868094137525549
2023,RB,prev1_rush_ypc,0.05228752004319217
2023,RB,prev1_wopr,0.05205076723739275
2023,RB,prev1_carries_pg,0.04724360127752183
2023,RB,prev1_air_yards_share,0.04492064820954802
2023,RB,age_sep1,0.043397266422641675
2023,RB,prev1_target_share,0.04277420535815857
2023,RB,prev1_games,0.03779572774997435
2023,RB,prev1_rec_epa_pg,0.029096379855630426
2023,RB,has_prev2,0.013137641696500424
2023,RB,prev1_targets_pg,0.012652646980885862
2023,RB,experience_years,0.00532852659099845
2023,RB,prev1_receptions_pg,0.003984916015951701
2023,RB,ppr_delta,0.0011164512507425783
2023,RB,prev1_attempts_pg,0.0
2023,RB,prev1_pass_tds_pg,0.0
2023,RB,prev1_int_pg,0.0
2023,RB,prev1_rec_tds_pg,0.0
2023,RB,prev1_pass_epa_pg,0.0
2023,RB,prev2_ppr_pg,0.0
2023,RB,games_delta,0.0
2023,RB,age_missing,0.0
2023,RB,draft_round,0.0
2023,RB,drafted,0.0
2023,RB,prev1_rush_tds_pg,-0.0012553032856987834
2023,RB,prev1_pass_yards_pg,-0.005585879695144768
2023,RB,prev1_rec_yards_pg,-0.0057738909414259965
2023,RB,prev1_pass_ypa,-0.012101564861403347
2023,RB,prev1_rec_ypt,-0.01974907315340344
2023,RB,prev1_rush_epa_pg,-0.022681846328412636
2024,RB,prev1_ppr_pg,0.33551689679220553
2024,RB,weighted_ppr_pg,0.2744017071774004
2024,RB,log_draft_pick,0.23568840564761703
2024,RB,prev1_rush_yards_pg,0.20172165334779074
2024,RB,prev2_games,0.12094629660492089
2024,RB,prev1_target_share,0.11113304348855176
2024,RB,prev1_wopr,0.09315959478625224
2024,RB,prev1_games,0.0678478682793581
2024,RB,age_sep1,0.049091379488004974
2024,RB,prev1_carries_pg,0.048855121617751074
2024,RB,prev1_air_yards_share,0.04457595509401937
2024,RB,prev1_rush_ypc,0.03792694013664466
2024,RB,prev1_rush_epa_pg,0.022824303663056877
2024,RB,prev1_receptions_pg,0.011834071465617236
2024,RB,prev1_targets_pg,0.005930907395342899
2024,RB,prev1_rec_yards_pg,0.001215187012352903
2024,RB,games_delta,0.0011545802741050437
2024,RB,prev1_attempts_pg,0.0
2024,RB,prev1_pass_yards_pg,0.0
2024,RB,prev1_pass_tds_pg,0.0
2024,RB,prev1_int_pg,0.0
2024,RB,prev1_pass_ypa,0.0
2024,RB,prev2_ppr_pg,0.0
2024,RB,age_missing,0.0
2024,RB,draft_round,0.0
2024,RB,drafted,0.0
2024,RB,prev1_rec_tds_pg,-0.00048485810117764315
2024,RB,has_prev2,-0.0010824215724937857
2024,RB,ppr_delta,-0.00188844849786447
2024,RB,prev1_rec_ypt,-0.003770922657273168
2024,RB,prev1_pass_epa_pg,-0.004161718927234936
2024,RB,experience_years,-0.006934063280091341
2024,RB,prev1_rush_tds_pg,-0.009284924754855517
2024,RB,prev1_rec_epa_pg,-0.018533973673118265
2025,RB,prev1_ppr_pg,0.5193988771248653
2025,RB,prev1_rush_yards_pg,0.31735929219097486
2025,RB,weighted_ppr_pg,0.2880822524570239
2025,RB,log_draft_pick,0.24945680859890426
2025,RB,age_sep1,0.21827473093014182
2025,RB,prev2_games,0.12857614851893678
2025,RB,prev1_wopr,0.09436190677110848
2025,RB,prev1_carries_pg,0.08977248893215588
2025,RB,prev1_target_share,0.07464459151067455
2025,RB,prev1_rush_epa_pg,0.04221952158065543
2025,RB,prev1_rush_ypc,0.03160003178546163
2025,RB,ppr_delta,0.018935522354784507
2025,RB,prev1_targets_pg,0.018413356990822204
2025,RB,prev2_ppr_pg,0.0070747010084773795
2025,RB,prev1_rec_yards_pg,0.006922874277910385
2025,RB,games_delta,0.004428432274400684
2025,RB,prev1_rec_epa_pg,0.003954501676564614
2025,RB,has_prev2,0.001960087154562551
2025,RB,prev1_rec_ypt,0.0005242704431803524
2025,RB,prev1_attempts_pg,0.0
2025,RB,prev1_receptions_pg,0.0
2025,RB,prev1_pass_yards_pg,0.0
2025,RB,prev1_pass_tds_pg,0.0
2025,RB,prev1_int_pg,0.0
2025,RB,prev1_rec_tds_pg,0.0
2025,RB,prev1_pass_epa_pg,0.0
2025,RB,prev1_pass_ypa,0.0
2025,RB,age_missing,0.0
2025,RB,draft_round,0.0
2025,RB,drafted,0.0
2025,RB,experience_years,-0.0005179952612139437
2025,RB,prev1_air_yards_share,-0.01814395208387376
2025,RB,prev1_games,-0.019265773083854666
2025,RB,prev1_rush_tds_pg,-0.036182917487734924
2018,TE,prev1_rec_yards_pg,0.17732096678027381
2018,TE,prev1_receptions_pg,0.05906198357975621
2018,TE,prev1_ppr_pg,0.031217527023986856
2018,TE,ppr_delta,0.029688525599133885
2018,TE,weighted_ppr_pg,0.028732450637273123
2018,TE,prev1_air_yards_share,0.019490419595045338
2018,TE,has_prev2,0.013710482442092786
2018,TE,prev2_ppr_pg,0.008309698977023139
2018,TE,prev1_target_share,0.00589541649803218
2018,TE,prev1_rec_epa_pg,0.0009240691431435799
2018,TE,prev1_attempts_pg,0.0
2018,TE,prev1_carries_pg,0.0
2018,TE,prev1_pass_yards_pg,0.0
2018,TE,prev1_pass_tds_pg,0.0
2018,TE,prev1_int_pg,0.0
2018,TE,prev1_rush_yards_pg,0.0
2018,TE,prev1_rush_tds_pg,0.0
2018,TE,prev1_pass_epa_pg,0.0
2018,TE,prev1_rush_epa_pg,0.0
2018,TE,prev1_pass_ypa,0.0
2018,TE,prev1_rush_ypc,0.0
2018,TE,age_missing,0.0
2018,TE,draft_round,0.0
2018,TE,drafted,0.0
2018,TE,prev1_rec_tds_pg,-0.00013736386497180674
2018,TE,prev1_games,-0.0018835370689544995
2018,TE,experience_years,-0.00292092632601193
2018,TE,prev1_wopr,-0.008826518713726018
2018,TE,prev1_rec_ypt,-0.017043731336903532
2018,TE,log_draft_pick,-0.01804963659964569
2018,TE,games_delta,-0.018934433107002935
2018,TE,prev2_games,-0.04289413944874143
2018,TE,prev1_targets_pg,-0.04297870717279171
2018,TE,age_sep1,-0.08522688173049442
2019,TE,prev1_rec_yards_pg,0.3874954636865998
2019,TE,prev1_receptions_pg,0.13604503770144333
2019,TE,prev2_ppr_pg,0.09177302559102252
2019,TE,log_draft_pick,0.07671428678703825
2019,TE,prev1_targets_pg,0.07352245451185854
2019,TE,has_prev2,0.02358163813734402
2019,TE,prev1_target_share,0.020435262330119653
2019,TE,prev1_ppr_pg,0.01939030031537987
2019,TE,weighted_ppr_pg,0.015070199351252889
2019,TE,prev1_rec_epa_pg,0.01080723140665798
2019,TE,prev1_wopr,0.008452041217786999
2019,TE,prev1_rec_ypt,0.00764824394829251
2019,TE,draft_round,0.0010856767630023968
2019,TE,prev1_attempts_pg,0.0
2019,TE,prev1_carries_pg,0.0
2019,TE,prev1_pass_yards_pg,0.0
2019,TE,prev1_pass_tds_pg,0.0
2019,TE,prev1_int_pg,0.0
2019,TE,prev1_rush_yards_pg,0.0
