split,event,model,scope,scope_value,reliability_bin,n,mean_probability,event_rate
development,high_availability,LOGIT_MINIMAL,position,RB,0,90,0.04868548079461426,0.022222222222222223
development,high_availability,LOGIT_MINIMAL,position,RB,1,89,0.08508364959791384,0.0449438202247191
development,high_availability,LOGIT_MINIMAL,position,RB,2,90,0.13957423051909246,0.2
development,high_availability,LOGIT_MINIMAL,position,RB,3,89,0.22110367354261884,0.20224719101123595
development,high_availability,LOGIT_MINIMAL,position,RB,4,90,0.3258807329162248,0.26666666666666666
development,high_availability,LOGIT_MINIMAL,position,WR,0,135,0.05031291880408924,0.037037037037037035
development,high_availability,LOGIT_MINIMAL,position,WR,1,132,0.09130341336387526,0.03787878787878788
development,high_availability,LOGIT_MINIMAL,position,WR,2,134,0.15281407543571396,0.12686567164179105
development,high_availability,LOGIT_MINIMAL,position,WR,3,136,0.24867727133226664,0.22058823529411764
development,high_availability,LOGIT_MINIMAL,position,WR,4,131,0.34082722856498754,0.3511450381679389
development,high_availability,LOGIT_MINIMAL,position,TE,0,77,0.03085659739585857,0.012987012987012988
development,high_availability,LOGIT_MINIMAL,position,TE,1,76,0.05657228404593202,0.06578947368421052
development,high_availability,LOGIT_MINIMAL,position,TE,2,76,0.09989726614871523,0.11842105263157894
development,high_availability,LOGIT_MINIMAL,position,TE,3,76,0.18834141522933595,0.13157894736842105
development,high_availability,LOGIT_MINIMAL,position,TE,4,77,0.34172415678954526,0.22077922077922077
development,high_availability,LOGIT_FULL,pooled,ALL,0,347,0.03214541801033327,0.037463976945244955
development,high_availability,LOGIT_FULL,pooled,ALL,1,347,0.06568871198890952,0.05187319884726225
development,high_availability,LOGIT_FULL,pooled,ALL,2,347,0.11699833544824789,0.11527377521613832
development,high_availability,LOGIT_FULL,pooled,ALL,3,347,0.2064494222436871,0.1729106628242075
development,high_availability,LOGIT_FULL,pooled,ALL,4,347,0.3943043410960472,0.2968299711815562
development,high_availability,LOGIT_FULL,position,QB,0,48,0.020637573142923683,0.0
development,high_availability,LOGIT_FULL,position,QB,1,47,0.04741219463252559,0.02127659574468085
development,high_availability,LOGIT_FULL,position,QB,2,47,0.08366612380197103,0.02127659574468085
development,high_availability,LOGIT_FULL,position,QB,3,47,0.20069895862514558,0.14893617021276595
development,high_availability,LOGIT_FULL,position,QB,4,48,0.4468500834692429,0.2916666666666667
development,high_availability,LOGIT_FULL,position,RB,0,90,0.036382363488266546,0.022222222222222223
development,high_availability,LOGIT_FULL,position,RB,1,89,0.06911567308848048,0.0449438202247191
development,high_availability,LOGIT_FULL,position,RB,2,90,0.12377788938083395,0.2
development,high_availability,LOGIT_FULL,position,RB,3,89,0.21065494784870673,0.1797752808988764
development,high_availability,LOGIT_FULL,position,RB,4,90,0.3702218900139057,0.28888888888888886
development,high_availability,LOGIT_FULL,position,WR,0,134,0.039656920627432236,0.06716417910447761
development,high_availability,LOGIT_FULL,position,WR,1,133,0.08075450761228477,0.045112781954887216
development,high_availability,LOGIT_FULL,position,WR,2,134,0.13378172059950635,0.11940298507462686
development,high_availability,LOGIT_FULL,position,WR,3,133,0.22279158816289046,0.18796992481203006
development,high_availability,LOGIT_FULL,position,WR,4,134,0.40192436611012095,0.35074626865671643
development,high_availability,LOGIT_FULL,position,TE,0,79,0.02800496777914644,0.02531645569620253
development,high_availability,LOGIT_FULL,position,TE,1,74,0.055836608593333364,0.0945945945945946
development,high_availability,LOGIT_FULL,position,TE,2,76,0.09647761380657575,0.09210526315789473
development,high_availability,LOGIT_FULL,position,TE,3,76,0.1716139362869804,0.15789473684210525
development,high_availability,LOGIT_FULL,position,TE,4,77,0.3656100091982584,0.18181818181818182
confirmation,low_availability,LOGIT_MINIMAL,pooled,ALL,0,355,0.44419493477698296,0.4619718309859155
confirmation,low_availability,LOGIT_MINIMAL,pooled,ALL,1,354,0.5934735334427543,0.5875706214689266
confirmation,low_availability,LOGIT_MINIMAL,pooled,ALL,2,359,0.7414435386491156,0.7632311977715878
confirmation,low_availability,LOGIT_MINIMAL,pooled,ALL,3,355,0.8459715467138912,0.8676056338028169
confirmation,low_availability,LOGIT_MINIMAL,pooled,ALL,4,350,0.9090861434144456,0.9485714285714286
confirmation,low_availability,LOGIT_MINIMAL,position,QB,0,52,0.5126619753376093,0.5576923076923077
confirmation,low_availability,LOGIT_MINIMAL,position,QB,1,51,0.7632027966340934,0.6862745098039216
confirmation,low_availability,LOGIT_MINIMAL,position,QB,2,52,0.8834743415118271,0.8846153846153846
confirmation,low_availability,LOGIT_MINIMAL,position,QB,3,51,0.9232187949531017,0.9215686274509803
confirmation,low_availability,LOGIT_MINIMAL,position,QB,4,52,0.9490783785728704,0.9615384615384616
confirmation,low_availability,LOGIT_MINIMAL,position,RB,0,91,0.48201342067180053,0.5054945054945055
confirmation,low_availability,LOGIT_MINIMAL,position,RB,1,92,0.5948256577381398,0.5217391304347826
confirmation,low_availability,LOGIT_MINIMAL,position,RB,2,91,0.7251073529519482,0.8351648351648352
confirmation,low_availability,LOGIT_MINIMAL,position,RB,3,87,0.8152846933803398,0.8735632183908046
confirmation,low_availability,LOGIT_MINIMAL,position,RB,4,91,0.8780027980380145,0.945054945054945
confirmation,low_availability,LOGIT_MINIMAL,position,WR,0,137,0.43239730847437197,0.46715328467153283
confirmation,low_availability,LOGIT_MINIMAL,position,WR,1,137,0.568172241463668,0.635036496350365
confirmation,low_availability,LOGIT_MINIMAL,position,WR,2,137,0.7183252553618037,0.708029197080292
confirmation,low_availability,LOGIT_MINIMAL,position,WR,3,135,0.8370760437990026,0.8518518518518519
confirmation,low_availability,LOGIT_MINIMAL,position,WR,4,137,0.899362201683263,0.948905109489051
confirmation,low_availability,LOGIT_MINIMAL,position,TE,0,76,0.41115206575851626,0.42105263157894735
confirmation,low_availability,LOGIT_MINIMAL,position,TE,1,77,0.5646574054383475,0.45454545454545453
confirmation,low_availability,LOGIT_MINIMAL,position,TE,2,75,0.7081263541758747,0.68
confirmation,low_availability,LOGIT_MINIMAL,position,TE,3,77,0.8177963600132243,0.8701298701298701
confirmation,low_availability,LOGIT_MINIMAL,position,TE,4,75,0.8878136503706422,0.92
confirmation,low_availability,LOGIT_FULL,pooled,ALL,0,355,0.4265422594383793,0.447887323943662
confirmation,low_availability,LOGIT_FULL,pooled,ALL,1,354,0.6109625160471575,0.5819209039548022
confirmation,low_availability,LOGIT_FULL,pooled,ALL,2,355,0.7519888978437759,0.7859154929577464
confirmation,low_availability,LOGIT_FULL,pooled,ALL,3,354,0.8551572847247944,0.8728813559322034
confirmation,low_availability,LOGIT_FULL,pooled,ALL,4,355,0.9229994787109381,0.9380281690140845
confirmation,low_availability,LOGIT_FULL,position,QB,0,52,0.5160086439538012,0.5384615384615384
confirmation,low_availability,LOGIT_FULL,position,QB,1,51,0.7597389779698375,0.7450980392156863
confirmation,low_availability,LOGIT_FULL,position,QB,2,52,0.8738349356451903,0.8653846153846154
confirmation,low_availability,LOGIT_FULL,position,QB,3,51,0.9296128611443398,0.9019607843137255
confirmation,low_availability,LOGIT_FULL,position,QB,4,52,0.9711125681165232,0.9615384615384616
confirmation,low_availability,LOGIT_FULL,position,RB,0,91,0.4516807642191727,0.3956043956043956
confirmation,low_availability,LOGIT_FULL,position,RB,1,90,0.6095299173697731,0.6111111111111112
confirmation,low_availability,LOGIT_FULL,position,RB,2,90,0.7394102167333577,0.8333333333333334
confirmation,low_availability,LOGIT_FULL,position,RB,3,90,0.8268770418903262,0.8888888888888888
confirmation,low_availability,LOGIT_FULL,position,RB,4,91,0.9035355635589067,0.945054945054945
confirmation,low_availability,LOGIT_FULL,position,WR,0,137,0.4160914745113517,0.4306569343065693
confirmation,low_availability,LOGIT_FULL,position,WR,1,136,0.5914430909143349,0.6397058823529411
confirmation,low_availability,LOGIT_FULL,position,WR,2,137,0.7320876441596421,0.7445255474452555
confirmation,low_availability,LOGIT_FULL,position,WR,3,136,0.8526965128900434,0.8455882352941176
confirmation,low_availability,LOGIT_FULL,position,WR,4,137,0.9082431752061085,0.948905109489051
confirmation,low_availability,LOGIT_FULL,position,TE,0,76,0.38700291321297814,0.39473684210526316
confirmation,low_availability,LOGIT_FULL,position,TE,1,76,0.5764107267629177,0.5
confirmation,low_availability,LOGIT_FULL,position,TE,2,76,0.7170539307696313,0.6842105263157895
confirmation,low_availability,LOGIT_FULL,position,TE,3,76,0.8212082829977378,0.8552631578947368
confirmation,low_availability,LOGIT_FULL,position,TE,4,76,0.9041405900595547,0.9078947368421053
confirmation,high_availability,LOGIT_MINIMAL,pooled,ALL,0,355,0.03512128176951688,0.011267605633802818
confirmation,high_availability,LOGIT_MINIMAL,pooled,ALL,1,354,0.06188077247876695,0.05084745762711865
confirmation,high_availability,LOGIT_MINIMAL,pooled,ALL,2,355,0.11837181238673336,0.11830985915492957
confirmation,high_availability,LOGIT_MINIMAL,pooled,ALL,3,354,0.22204123076366483,0.18361581920903955
confirmation,high_availability,LOGIT_MINIMAL,pooled,ALL,4,355,0.35876532895712027,0.36056338028169016
confirmation,high_availability,LOGIT_MINIMAL,position,QB,0,53,0.029326156682597207,0.018867924528301886
confirmation,high_availability,LOGIT_MINIMAL,position,QB,1,50,0.04343944406636955,0.02
confirmation,high_availability,LOGIT_MINIMAL,position,QB,2,52,0.06556661486851113,0.038461538461538464
confirmation,high_availability,LOGIT_MINIMAL,position,QB,3,51,0.13646190899873836,0.11764705882352941
confirmation,high_availability,LOGIT_MINIMAL,position,QB,4,52,0.32806216624019374,0.19230769230769232
confirmation,high_availability,LOGIT_MINIMAL,position,RB,0,91,0.04069197534013466,0.02197802197802198
confirmation,high_availability,LOGIT_MINIMAL,position,RB,1,90,0.07323933166346736,0.06666666666666667
confirmation,high_availability,LOGIT_MINIMAL,position,RB,2,93,0.1338770131758564,0.11827956989247312
confirmation,high_availability,LOGIT_MINIMAL,position,RB,3,88,0.2332906602306701,0.25
confirmation,high_availability,LOGIT_MINIMAL,position,RB,4,90,0.3451733488465282,0.3111111111111111
confirmation,high_availability,LOGIT_MINIMAL,position,WR,0,138,0.040128817945009436,0.007246376811594203
confirmation,high_availability,LOGIT_MINIMAL,position,WR,1,135,0.07044164199405115,0.07407407407407407
confirmation,high_availability,LOGIT_MINIMAL,position,WR,2,138,0.13985182819057693,0.14492753623188406
confirmation,high_availability,LOGIT_MINIMAL,position,WR,3,135,0.24773131009676042,0.18518518518518517
confirmation,high_availability,LOGIT_MINIMAL,position,WR,4,137,0.36556931063078396,0.38686131386861317
confirmation,high_availability,LOGIT_MINIMAL,position,TE,0,76,0.029220837131823732,0.013157894736842105
confirmation,high_availability,LOGIT_MINIMAL,position,TE,1,76,0.056755584377342676,0.013157894736842105
confirmation,high_availability,LOGIT_MINIMAL,position,TE,2,76,0.11300699027495162,0.10526315789473684
confirmation,high_availability,LOGIT_MINIMAL,position,TE,3,76,0.21052754220214012,0.2631578947368421
confirmation,high_availability,LOGIT_MINIMAL,position,TE,4,76,0.3666955234622889,0.3815789473684211
confirmation,high_availability,LOGIT_FULL,pooled,ALL,0,355,0.027165733513433665,0.01971830985915493
confirmation,high_availability,LOGIT_FULL,pooled,ALL,1,354,0.05468846815144336,0.0423728813559322
confirmation,high_availability,LOGIT_FULL,pooled,ALL,2,355,0.10485087935189584,0.09859154929577464
confirmation,high_availability,LOGIT_FULL,pooled,ALL,3,354,0.19819699722706682,0.1807909604519774
confirmation,high_availability,LOGIT_FULL,pooled,ALL,4,355,0.3682408853067884,0.38309859154929576
confirmation,high_availability,LOGIT_FULL,position,QB,0,52,0.01511584822998583,0.019230769230769232
confirmation,high_availability,LOGIT_FULL,position,QB,1,51,0.03424105705784236,0.0196078431372549
confirmation,high_availability,LOGIT_FULL,position,QB,2,52,0.06058630316327004,0.019230769230769232
confirmation,high_availability,LOGIT_FULL,position,QB,3,51,0.12817958327361154,0.11764705882352941
confirmation,high_availability,LOGIT_FULL,position,QB,4,52,0.30368821618263886,0.21153846153846154
confirmation,high_availability,LOGIT_FULL,position,RB,0,91,0.029254774716538586,0.04395604395604396
confirmation,high_availability,LOGIT_FULL,position,RB,1,90,0.061861851196614304,0.044444444444444446
confirmation,high_availability,LOGIT_FULL,position,RB,2,90,0.11477102667082871,0.1111111111111111
confirmation,high_availability,LOGIT_FULL,position,RB,3,90,0.2051407737624648,0.2111111111111111
confirmation,high_availability,LOGIT_FULL,position,RB,4,91,0.3478645440511754,0.3516483516483517
confirmation,high_availability,LOGIT_FULL,position,WR,0,137,0.03439594892490837,0.014598540145985401
confirmation,high_availability,LOGIT_FULL,position,WR,1,136,0.06147036891049124,0.08088235294117647
confirmation,high_availability,LOGIT_FULL,position,WR,2,137,0.12401716002227428,0.06569343065693431
confirmation,high_availability,LOGIT_FULL,position,WR,3,136,0.21995035257871656,0.20588235294117646
confirmation,high_availability,LOGIT_FULL,position,WR,4,137,0.3854491831279824,0.4306569343065693
confirmation,high_availability,LOGIT_FULL,position,TE,0,76,0.025761535219596742,0.013157894736842105
confirmation,high_availability,LOGIT_FULL,position,TE,1,76,0.05375150217583336,0.02631578947368421
confirmation,high_availability,LOGIT_FULL,position,TE,2,76,0.1011644178542142,0.11842105263157894
confirmation,high_availability,LOGIT_FULL,position,TE,3,76,0.18467588419250072,0.23684210526315788
confirmation,high_availability,LOGIT_FULL,position,TE,4,76,0.39308450309548937,0.3815789473684211
